bits per word: 8
max speed: 500000 Hz (500 KHz)
DIO initialized
DAC initialized
Encoder Initialized
Encoder Initialized


 STEERING --> bringing the steering to the center
 CAN THREAD - Starting can thread
MOTION CONTROLLER THREAD STARTED-----> The given argument was : thread startedEncoder cleared
Encoder cleared

HEARTBEAT_THREAD-----> The given argument was : thread started
CAN_THREAD-----> The given argument was : thread started
 trac_enc= 488 || steer_enc = 38 || VL0 = 1.8145 || VF0 = 109.7268 || heading = 0
 trac_enc= 508 || steer_enc = 38 || VL0 = 1.8917 || VF0 = 114.2237 || heading = 0
 trac_enc= 529 || steer_enc = 38 || VL0 = 1.9733 || VF0 = 118.9454 || heading = 0
 trac_enc= 551 || steer_enc = 38 || VL0 = 2.0591 || VF0 = 123.8921 || heading = 0
 trac_enc= 573 || steer_enc = 37 || VL0 = 2.1445 || VF0 = 128.8387 || heading = 0
 trac_enc= 594 || steer_enc = 35 || VL0 = 2.2242 || VF0 = 133.5606 || heading = 0
 trac_enc= 617 || steer_enc = 31 || VL0 = 2.3051 || VF0 = 138.7322 || heading = 0
 trac_enc= 640 || steer_enc = 28 || VL0 = 2.3785 || VF0 = 143.9039 || heading = 0
 trac_enc= 663 || steer_enc = 25 || VL0 = 2.4461 || VF0 = 149.0757 || heading = 0
 trac_enc= 687 || steer_enc = 24 || VL0 = 2.5134 || VF0 = 154.4725 || heading = 0
 trac_enc= 710 || steer_enc = 24 || VL0 = 2.5772 || VF0 = 159.6444 || heading = 0
 trac_enc= 735 || steer_enc = 24 || VL0 = 2.6468 || VF0 = 165.2661 || heading = 0
 trac_enc= 760 || steer_enc = 24 || VL0 = 2.7168 || VF0 = 170.8877 || heading = 0
 trac_enc= 785 || steer_enc = 23 || VL0 = 2.7866 || VF0 = 176.5094 || heading = 0
 trac_enc= 810 || steer_enc = 23 || VL0 = 2.8551 || VF0 = 182.1310 || heading = 0
 trac_enc= 836 || steer_enc = 21 || VL0 = 2.9252 || VF0 = 187.9776 || heading = 0
 trac_enc= 863 || steer_enc = 19 || VL0 = 2.9920 || VF0 = 194.0490 || heading = 0
 trac_enc= 889 || steer_enc = 18 || VL0 = 3.0530 || VF0 = 199.8956 || heading = 0
 trac_enc= 917 || steer_enc = 18 || VL0 = 3.1186 || VF0 = 206.1919 || heading = 0
 trac_enc= 945 || steer_enc = 17 || VL0 = 3.1833 || VF0 = 212.4883 || heading = 0
 trac_enc= 973 || steer_enc = 15 || VL0 = 3.2438 || VF0 = 218.7846 || heading = 0
 trac_enc= 1002 || steer_enc = 12 || VL0 = 3.3009 || VF0 = 225.3058 || heading = 0
 trac_enc= 1031 || steer_enc = 8 || VL0 = 3.3480 || VF0 = 231.8271 || heading = 0
 trac_enc= 1060 || steer_enc = 4 || VL0 = 3.3852 || VF0 = 238.3486 || heading = 0
 trac_enc= 1091 || steer_enc = -1 || VL0 = 3.4136 || VF0 = 245.3199 || heading = 0
 trac_enc= 1120 || steer_enc = -5 || VL0 = 3.4276 || VF0 = 251.8414 || heading = 0
 trac_enc= 1151 || steer_enc = -9 || VL0 = 3.4315 || VF0 = 258.8128 || heading = 0
 trac_enc= 1182 || steer_enc = -12 || VL0 = 3.4262 || VF0 = 265.7842 || heading = 0
 trac_enc= 1213 || steer_enc = -13 || VL0 = 3.4151 || VF0 = 272.7556 || heading = 0
 trac_enc= 1245 || steer_enc = -15 || VL0 = 3.3988 || VF0 = 279.9519 || heading = 0
 trac_enc= 1278 || steer_enc = -19 || VL0 = 3.3722 || VF0 = 287.3731 || heading = 0
 trac_enc= 1310 || steer_enc = -23 || VL0 = 3.3336 || VF0 = 294.5694 || heading = 0
 trac_enc= 1343 || steer_enc = -26 || VL0 = 3.2837 || VF0 = 301.9902 || heading = 0
 trac_enc= 1376 || steer_enc = -30 || VL0 = 3.2233 || VF0 = 309.4110 || heading = 0
 trac_enc= 1410 || steer_enc = -32 || VL0 = 3.1522 || VF0 = 317.0566 || heading = 0
 trac_enc= 1445 || steer_enc = -33 || VL0 = 3.0732 || VF0 = 324.9271 || heading = 0
