route	record	Ang:	1.76454496384		
187035	-19.201171875	52905	-13.0200443268	1238	0.882272481918
188139	-11.6940259933	53347	-13.0200443268	1257	0.882272481918
188677	-3.52908992767	53724	-13.0200443268	1276	0.882272481918
189050	1.32079851627	54067	-13.0200443268	1276	0.882272481918
189514	0.219262972474	54495	-13.0200443268	1298	0.882272481918
190177	-2.42755436897	54912	-10.5924901962	1317	0.882272481918
190835	-2.64681744576	55365	-10.3732280731	1334	0.882272481918
191468	1.10153543949	55755	-10.3732280731	1334	0.882272481918
192119	3.0853433609	56073	-9.71021747589	1353	0.882272481918
192840	2.20307087898	56430	-9.49095535278	1373	0.882272481918
193487	2.64681744576	56867	-9.49095535278	1392	0.882272481918
194240	0.438525944948	57322	-9.49095535278	1392	0.882272481918
194849	-3.97283625603	57804	-7.72118902206	1414	0.882272481918
195139	-4.63062524796	58134	-7.72118902206	1437	0.882272481918
195138	-4.63062524796	58433	-7.72118902206	1455	0.882272481918
195139	-4.63062524796	58810	-6.83891677856	1474	0.882272481918
195139	-4.85510873795	59239	-6.40039110184	1474	0.882272481918
195139	-3.30982708931	59663	-6.40039110184	1512	0.882272481918
195139	-0.882272481918	60092	-6.40039110184	1529	0.882272481918
195139	-1.98380792141	60506	-6.61965417862	1529	0.882272481918
195139	-8.164935112	60917	-6.61965417862	1547	0.882272481918
195139	-10.5924901962	61363	-6.61965417862	1583	0.882272481918
195192	-12.3570356369	61748	-7.94567251205	1583	0.882272481918
195400	-10.1487436295	62104	-8.164935112	1604	0.882272481918
195473	-1.54006147385	62461	-8.164935112	1622	0.882272481918
